Activity Name,Grade,Subject,Thumbnail,URL
Binary and Quinary Number System,8,math,https://epaath.olenepal.org/images/main/math/Grade7/Binary-and-Quinary-Number-System.png,https://epaath.olenepal.org/start.html?id=matbnq01&lang=en&grade=8
"Ratio, Percentage and Proportion",8,math,https://epaath.olenepal.org/images/main/math/Grade8/Grade8-ratio_percentage-and_proportion.png,https://epaath.olenepal.org/start.html?id=matrrp01&lang=en&grade=8
"Profit, Loss & Discount",8,math,https://epaath.olenepal.org/images/main/math/Grade8/Grade8-profit_loss_and_discount.png,https://epaath.olenepal.org/start.html?id=matpld01&lang=en&grade=8
Unitary Method,8,math,https://epaath.olenepal.org/images/main/math/Grade8/Grade8-unitary_method.png,https://epaath.olenepal.org/start.html?id=matume01&lang=en&grade=8
Simple Interest,8,math,https://epaath.olenepal.org/images/main/math/Grade8/Grade8-simple_interest.png,https://epaath.olenepal.org/start.html?id=matsim01&lang=en&grade=8
Perimeter,8,math,https://epaath.olenepal.org/images/main/math/Grade8/Grade8-Perimeter.png,https://epaath.olenepal.org/start.html?id=matper01&lang=en&grade=8
Area,8,math,https://epaath.olenepal.org/images/main/math/Grade8/Grade8-area.png,https://epaath.olenepal.org/start.html?id=matare01&lang=en&grade=8
Volume,8,math,https://epaath.olenepal.org/images/main/math/Grade8/Grade8-volume.png,https://epaath.olenepal.org/start.html?id=matvol01&lang=en&grade=8
Using Laws of Exponents,8,math,https://epaath.olenepal.org/images/thumb/math/exponents_8/thumbnail.png,https://epaath.olenepal.org/start.html?id=matexe01&lang=en&grade=8
Factorization,8,math,https://epaath.olenepal.org/images/main/math/Grade8/Grade8-factorization.png,https://epaath.olenepal.org/start.html?id=matfct01&lang=en&grade=8
HCF and LCM,8,math,https://epaath.olenepal.org/images/main/math/Grade8/Grade8-HCF_and_LCM.png,https://epaath.olenepal.org/start.html?id=mathcf01&lang=en&grade=8
Equation and inequality,8,math,https://epaath.olenepal.org/images/main/math/Grade8/Grade8-equation-and-inequality.png,https://epaath.olenepal.org/start.html?id=mateni01&lang=en&grade=8
Triangles,8,math,https://epaath.olenepal.org/images/main/math/Grade8/Grade8-Triangles.png,https://epaath.olenepal.org/start.html?id=mattri01&lang=en&grade=8
Quadrilaterals,8,math,https://epaath.olenepal.org/images/main/math/Grade8/Grade8-Quadrilateral.png,https://epaath.olenepal.org/start.html?id=matqug01&lang=en&grade=8
Circle,8,math,https://epaath.olenepal.org/images/main/math/Grade8/Grade8-circle.png,https://epaath.olenepal.org/start.html?id=matcir01&lang=en&grade=8
Construction of Polygons,8,math,https://epaath.olenepal.org/images/main/math/Grade8/Grade8-polygon.png,https://epaath.olenepal.org/start.html?id=matpol01&lang=en&grade=8
Transformation,8,math,https://epaath.olenepal.org/images/main/math/Grade8/Grade8-Transformation.png,https://epaath.olenepal.org/start.html?id=matref01&lang=en&grade=8
Bearing and Scale Drawing,8,math,https://epaath.olenepal.org/images/main/math/Grade8/Grade8-bearing.png,https://epaath.olenepal.org/start.html?id=matbng01&lang=en&grade=8
Pie Chart,8,math,https://epaath.olenepal.org/images/thumb/math/piec_thumbnail.png,https://epaath.olenepal.org/start.html?id=matpie01&lang=en&grade=8
Statistics,8,math,https://epaath.olenepal.org/images/main/math/Grade8/Grade8-mean-median-mode.png,https://epaath.olenepal.org/start.html?id=matmea01&lang=en&grade=8
भेन चित्रको परिचय,8,math,https://epaath.olenepal.org/images/thumb/math/intro_to_venn_out_img.png,https://epaath.olenepal.org/start.html?id=matsvd01&lang=np&grade=8
समूह,8,math,https://epaath.olenepal.org/images/main/math/Grade8/Grade8-set.png,https://epaath.olenepal.org/start.html?id=matdif01&lang=np&grade=8
उपयुक्त र अनुपयुक्त उपसमूह,8,math,https://epaath.olenepal.org/images/thumb/math/proper_improper_subset/thumbnail.png,https://epaath.olenepal.org/start.html?id=matpis01&lang=np&grade=8
अनुपातिक र अनानुपातिक,8,math,https://epaath.olenepal.org/images/main/math/Grade8/Grade8-rational_and_irrational.png,https://epaath.olenepal.org/start.html?id=matrat01&lang=np&grade=8
द्वि-आधार र पञ्च आधार,8,math,https://epaath.olenepal.org/images/main/math/Grade7/Binary-and-Quinary-Number-System.png,https://epaath.olenepal.org/start.html?id=matbnq01&lang=np&grade=8
